,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
2813,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/ezvinqm1h3m8juekvoft9jul",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"24,8 Ton",['Carreta Toco'],12
2814,"https://www.truckpad.com.br/fretes/carga-de-rj/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/1u69hya6w6zqi0tbj4axkcsi8",RJ - Barra Mansa,SP - São Paulo,03/10,03/10,284 km,"25,0 Ton",['Carreta Toco'],13
2815,"https://www.truckpad.com.br/fretes/carga-de-rj/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/dnsve10n7usztf51wcnvvslm7",RJ - Barra Mansa,SP - Cajamar,04/10,04/10,331 km,"25,0 Ton",['Carreta Toco'],14
2816,"https://www.truckpad.com.br/fretes/carga-de-rj/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/45r0us9hhsuxks51npluvhseq",RJ - Barra Mansa,SP - Cajamar,04/10,04/10,331 km,"25,0 Ton",['Carreta Toco'],15
2817,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-truck/carroceria-bau,sider/carga-completa/empresa-diavanti-solucoes-logisticas-ltda/5ao3qp1qq65fv5u2s2ntpxt2q",SP - São Paulo,SP - Santana de Parnaíba,03/10,03/10,39 km,"14,0 Ton",['Truck'],16
2818,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/eh6yp7pb5fk0tcrbjo6srp336",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"25,0 Ton",['Carreta LS Trucada'],17
2819,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-gru-transportes/bndcfdx2g3cqrophmo49gudi4",SP - Guarulhos,SP - Guarulhos,03/10,03/10,18 km,"6,0 Ton","['Toco', 'Truck']",18
2820,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/9xblfx3h0u1isd8ttnvtvaj5q",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"25,0 Ton",['Carreta LS Trucada'],1
2821,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/3rrp9int0k79hvzenusirc0nq",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"25,0 Ton",['Carreta LS Trucada'],2
2822,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco-3-4/carroceria-bau,sider/carga-agregamento/empresa-diavanti-solucoes-logisticas-ltda/ezhgxbi3urxp63ozuhy8kfvg6",SP - São Paulo,SP - Santana de Parnaíba,03/10,03/10,39 km,"3,5 Ton",['Toco 3/4'],3
2823,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/e1n4zvjxd36rkzmiomp8zcsh2",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"25,0 Ton",['Carreta LS Trucada'],4
2824,"https://www.truckpad.com.br/fretes/carga-de-sp/para-mg/veiculo-carreta-toco,toco,truck,toco-3-4/carroceria-bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/bxyh43b1omb7n6aqfr9f80zva",SP - Guarulhos,MG - Teófilo Otoni,01/10,01/10,1.016 km,"1,3 Ton","['Carreta Toco', 'Toco', 'Truck', 'Toco 3/4']",5
2825,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco/carroceria-bau,sider/carga-completa/empresa-diavanti-solucoes-logisticas-ltda/71hf43a4euutz9qvwblgpbd20",SP - São Paulo,SP - Santana de Parnaíba,03/10,03/10,39 km,"6,0 Ton",['Toco'],6
2826,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/1asmpxeyc3vku9gcsp2jw4n7y",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"25,0 Ton",['Carreta LS Trucada'],7
2827,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-vuc-hr/carroceria-aberto-grade-baixa,sider/carga-completa/empresa-trans-ativa-transportes-ltda/1eskc7hus58cmhvg8fflidsq7",SP - Cotia,SP - Santo Antônio de Posse,03/10,03/10,145 km,"1,8 Ton",['VUC / HR'],8
2828,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-utilitario/carroceria-bau/carga-agregamento/empresa-aerosoft-cargas-aereas-ltda-filial-rio-de-janeiro/1dfbjzbmh7jhtpyi6emqtiyx,SP - Guarulhos,SP - São Paulo,08/10,08/10,24 km,500 kg,['Utilitário'],9
2829,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/4gbii7nv0uhcmwsuajl7tnwiw",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"30,0 Ton",['Carreta LS Trucada'],10
2830,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/azw9n12cs3qlsymm29gbzuscg",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"30,0 Ton",['Carreta LS Trucada'],11
2831,"https://www.truckpad.com.br/fretes/carga-de-sp/para-mg/veiculo-truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,sider/carga-completa/empresa-trans-ativa-transportes-ltda/303nxby47dfzn5dc3we0d9bjz",SP - Guarulhos,MG - Rodeiro,03/10,03/10,583 km,"8,0 Ton",['Truck'],12
2832,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/79zpj76p7tv6rkpmk5qwa8gxm",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"30,0 Ton",['Carreta LS Trucada'],13
2833,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/eu0k4pfhu5o30gagg7lj0srtd",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"30,0 Ton",['Carreta LS Trucada'],14
2834,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/9y1wqlt67owhj0fkwl02lk5ug",MG - João Monlevade,RJ - Barra Mansa,03/10,03/10,526 km,"30,0 Ton",['Carreta LS Trucada'],15
2835,"https://www.truckpad.com.br/fretes/carga-de-pr/para-go/veiculo-bi-truck,carreta-toco,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-cascao-implementos-rodoagro/erubfoxqaixqsa527wzfvffkm",PR - Araucária,GO - Morrinhos,04/10,04/10,1.065 km,"21,0 Ton","['Bi-Truck', 'Carreta Toco', 'Carreta LS Trucada']",16
2836,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-vuc-hr/carroceria-bau,sider/carga-completa/empresa-diavanti-solucoes-logisticas-ltda/7kn1rgtef39br3gkjnigfu24z",SP - São Paulo,SP - Santana de Parnaíba,03/10,03/10,39 km,"1,5 Ton",['VUC / HR'],17
2837,"https://www.truckpad.com.br/fretes/carga-de-pr/para-sp/veiculo-bi-truck,bitrem,carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/5u4j5ehp71qq1310ez0ssrj1o",PR - Pato Branco,SP - Salto,03/10,03/10,793 km,"12,0 Ton","['Bi-Truck', 'Bitrem', 'Carreta LS Trucada']",18
2838,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-bi-truck/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/b5vmatx8ukh1n99yjxrfono51",PR - Pato Branco,RS - Gravataí,05/10,05/10,599 km,"7,0 Ton",['Bi-Truck'],19
2839,"https://www.truckpad.com.br/fretes/carga-de-sc/para-sp/veiculo-bi-truck,rodotrem,bitrem,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-mundial-log/5aww2gz9i37a37pn2hjx2mnjs",SC - Irani,SP - São Paulo,03/10,03/10,745 km,"27,0 Ton","['Bi-Truck', 'Rodotrem', 'Bitrem', 'Carreta LS Trucada']",1
2840,https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bitrem/carroceria-florestal/carga-completa/empresa-klabin/cbv3x0qio2k9hty1wq63v67do,PR - Inácio Martins,PR - Ortigueira,03/10,03/10,238 km,"37,0 Ton",['Bitrem'],2
2841,"https://www.truckpad.com.br/fretes/carga-de-sp/para-ba/veiculo-truck/carroceria-aberto-grade-baixa,sider/carga-completa/empresa-carioba-artefatos-de-pinus-ltda-epp/38oba584bbq0drip09elaxhlt",SP - Bananal,BA - Lauro de Freitas,09/10,09/10,1.663 km,"6,5 Ton",['Truck'],3
2842,"https://www.truckpad.com.br/fretes/carga-de-pr/para-ms/veiculo-carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/4zo5g7ptb6zbwet78e78z49zg",PR - Pato Branco,MS - Nova Alvorada do Sul,05/10,05/10,732 km,"12,0 Ton",['Carreta LS Trucada'],4
