,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
750,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/62ehca8q8ztcb1h354qux7ky2",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"10,1 Ton",['Carreta Toco'],8
749,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pa/veiculo-carreta-toco,toco,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/6bshcp2xwlr0kfaws7z9s3zz2",SP - Guarulhos,PA - Marabá,03/10,03/10,2.326 km,"4,8 Ton","['Carreta Toco', 'Toco', 'Truck']",9
748,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-van/carroceria-bau/carga-completa/empresa-louvor-transportes/662xk5hh9sddpkngs9qez5krz,SP - Guarulhos,SP - São Paulo,05/10,05/10,18 km,"2,0 Ton",['Van'],10
747,"https://www.truckpad.com.br/fretes/carga-de-sp/para-mg/veiculo-toco,vuc-hr,toco-3-4,van/carroceria-bau,frigorifico,sider,refrigerado/carga-completa/empresa-zafex-transportes-expressos/7waug7qj912v0gx3alyd1e7ls",SP - São Paulo,MG - Extrema,03/10,03/10,103 km,460 kg,"['Toco', 'VUC / HR', 'Toco 3/4', 'Van']",11
746,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pb/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-rodorei-transportes-ltda-sao-paulo-sp/6vvr9n7w8fih8csaz20sgp6zz",SP - Capivari,PB - Campina Grande,04/10,04/10,2.678 km,"25,0 Ton",['Carreta LS Trucada'],12
745,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-bi-truck,truck/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/5bdadu02to32548mhdsv4956g",PR - Pato Branco,RS - Santa Cruz do Sul,03/10,03/10,519 km,"7,0 Ton","['Bi-Truck', 'Truck']",13
744,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-bi-truck,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-completa/empresa-transportes-cooperados-ltda/2zz51o478x869ezcmnyeqeksm",PR - São José dos Pinhais,RS - Canguçu,04/10,04/10,959 km,"14,0 Ton","['Bi-Truck', 'Truck']",14
743,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/4ro26s46idbr5g8qtwn72yr48",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"21,2 Ton",['Carreta Toco'],15
742,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/ah7sj8isqlwvkseamgnacybuw",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"21,4 Ton",['Carreta Toco'],16
741,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/8et2j38lldgj0jypu2ejxgw3f",SP - Itaquaquecetuba,SP - São José do Rio Preto,03/10,03/10,469 km,"25,0 Ton",['Carreta Toco'],17
740,"https://www.truckpad.com.br/fretes/carga-de-pr/para-mt/veiculo-carreta-toco,toco,truck,toco-3-4/carroceria-aberto-grade-baixa,bau,sider/carga-completa/empresa-latitude-logistica-ltda/b2omt1nz7i11heic8fh8uj6bu",PR - Paranaguá,MT - Cuiabá,05/10,05/10,1.786 km,"2,3 Ton","['Carreta Toco', 'Toco', 'Truck', 'Toco 3/4']",18
739,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/ey0ik0rildeuvj73cyngqe078",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"25,5 Ton",['Carreta Toco'],19
738,"https://www.truckpad.com.br/fretes/carga-de-pr/para-pa/veiculo-carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/a6trqw0ml1ncde6zdi1cp5ta3",PR - Pato Branco,PA - Belém,04/10,04/10,3.292 km,"9,0 Ton",['Carreta LS Trucada'],1
737,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rs/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau/carga-completa/empresa-via-global-transporte-rodoviario-eireli/6ust300dfbdf3xm2xzsr8vfaa",SP - Limeira,RS - Sapucaia do Sul,03/10,03/10,1.145 km,"19,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",2
736,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/btbx3sxsldh0o3gco44ylv1ou",SP - Guarulhos,RJ - Valença,04/10,04/10,387 km,"10,1 Ton",['Carreta Toco'],3
735,https://www.truckpad.com.br/fretes/carga-de-rj/para-rj/veiculo-vuc-hr/carroceria-aberto-grade-baixa/carga-agregamento/empresa-rental-cargas/j3ub43upw7054xqdmz8vdwst,RJ - Duque de Caxias,RJ - São Gonçalo,03/10,03/10,41 km,"12,5 Ton",['VUC / HR'],4
734,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-completa/empresa-fs4-logistica-transportes-eireli/5ulplornxphe08om883nrrdl9",SP - Guarulhos,SP - Guarulhos,01/10,01/10,23 km,"9,0 Ton",['Carreta Toco'],5
733,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pa/veiculo-carreta-toco,toco,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/5r74kc69cd9et1gvbezc11d2i",SP - Guarulhos,PA - Paragominas,03/10,03/10,2.627 km,460 kg,"['Carreta Toco', 'Toco', 'Truck']",6
732,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-atlas-eletrodomesticos/8vzkkx28r8ef1mxqv2ojiwzp7",PR - Pato Branco,RS - Santa Cruz do Sul,04/10,04/10,519 km,"9,0 Ton",['Carreta LS Trucada'],7
731,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pa/veiculo-bi-truck,carreta-toco,toco,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/759n65a1t5ezrsnylmtgie8vc",SP - Guarulhos,PA - Tucumã,03/10,03/10,2.348 km,"2,9 Ton","['Bi-Truck', 'Carreta Toco', 'Toco', 'Truck']",8
730,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pa/veiculo-bi-truck,carreta-toco,truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/bj3nf8gfnkhjtay6hlsrcxxt5",SP - Guarulhos,PA - Xinguara,03/10,03/10,2.192 km,535 kg,"['Bi-Truck', 'Carreta Toco', 'Truck']",9
729,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-vuc-hr/carroceria-aberto-grade-baixa/carga-agregamento/empresa-rental-cargas/a3wbyoxq55ckgkffygc0fwunb,SP - São Bernardo do Campo,SP - São Paulo,03/10,03/10,21 km,"2,5 Ton",['VUC / HR'],10
